id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,extracted_at
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.190085,28421321983,8,28421844732,955476161,0.194233,0.189149,0.00074026,0.39096,108871818.0,0.38454,149514656383.7052,149517406383.7052,,0.731578,-74.01297,2021-05-08T05:08:23.458Z,8.69e-05,218665.47851,2015-05-06T00:00:00.000Z,,2025-06-02T13:55:32.258Z,2025-06-02 13:55:38.113336
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,104016.0,2068650863555,1,2068650863555,23317851389,105804.0,103977.0,-301.6908350542217,-0.2892,-4295175947.638428,-0.2072,19873368.0,19873368.0,21000000.0,111814.0,-6.79651,2025-05-22T18:41:28.492Z,67.81,153588.60419,2013-07-06T00:00:00.000Z,,2025-06-02T13:56:57.950Z,2025-06-02 13:57:00.840060
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2505.51,302604256236,2,302604256236,12647494083,2544.32,2482.52,9.95,0.39877,1374451091.0,0.45628,120723694.2120103,120723694.2120103,,4878.26,-48.72424,2021-11-10T14:24:19.604Z,0.432979,577610.6554,2015-10-20T00:00:00.000Z,"{'times': 31.249776832965747, 'currency': 'btc', 'percentage': 3124.9776832965745}",2025-06-02T13:56:57.801Z,2025-06-02 13:57:00.840060
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.190019,28421321983,8,28421844732,955699634,0.194233,0.189149,0.00067443,0.35619,108871818.0,0.38454,149514656383.7052,149517406383.7052,,0.731578,-74.01297,2021-05-08T05:08:23.458Z,8.69e-05,218665.47851,2015-05-06T00:00:00.000Z,,2025-06-02T13:56:57.423Z,2025-06-02 13:57:00.840060
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,104016.0,2068650863555,1,2068650863555,23317851389,105804.0,103977.0,-301.6908350542217,-0.2892,-4295175947.638428,-0.2072,19873368.0,19873368.0,21000000.0,111814.0,-6.79651,2025-05-22T18:41:28.492Z,67.81,153588.60419,2013-07-06T00:00:00.000Z,,2025-06-02T13:56:57.950Z,2025-06-02 13:57:31.622289
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2505.51,302604256236,2,302604256236,12647494083,2544.32,2482.52,9.95,0.39877,1374451091.0,0.45628,120723694.2120103,120723694.2120103,,4878.26,-48.72424,2021-11-10T14:24:19.604Z,0.432979,577610.6554,2015-10-20T00:00:00.000Z,"{'times': 31.249776832965747, 'currency': 'btc', 'percentage': 3124.9776832965745}",2025-06-02T13:56:57.801Z,2025-06-02 13:57:31.622289
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.190019,28421321983,8,28421844732,955699634,0.194233,0.189149,0.00067443,0.35619,108871818.0,0.38454,149514656383.7052,149517406383.7052,,0.731578,-74.01297,2021-05-08T05:08:23.458Z,8.69e-05,218665.47851,2015-05-06T00:00:00.000Z,,2025-06-02T13:56:57.423Z,2025-06-02 13:57:31.622289
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,104016.0,2068650863555,1,2068650863555,23337511273,105804.0,103977.0,-302.47541145082505,-0.28996,-4295175947.638428,-0.2072,19873368.0,19873368.0,21000000.0,111814.0,-6.79651,2025-05-22T18:41:28.492Z,67.81,153588.60419,2013-07-06T00:00:00.000Z,,2025-06-02T13:58:10.746Z,2025-06-02 13:58:17.433120
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2505.21,302604256236,2,302604256236,12656361840,2544.32,2482.52,9.64,0.38643,1374451091.0,0.45628,120723694.2120103,120723694.2120103,,4878.26,-48.72424,2021-11-10T14:24:19.604Z,0.432979,577610.6554,2015-10-20T00:00:00.000Z,"{'times': 31.241972477425488, 'currency': 'btc', 'percentage': 3124.197247742549}",2025-06-02T13:58:11.153Z,2025-06-02 13:58:17.433120
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.190009,28421321983,8,28421844732,955765890,0.194233,0.189149,0.00066389,0.35062,108871818.0,0.38454,149514656383.7052,149517406383.7052,,0.731578,-74.01297,2021-05-08T05:08:23.458Z,8.69e-05,218665.47851,2015-05-06T00:00:00.000Z,,2025-06-02T13:58:13.880Z,2025-06-02 13:58:17.433120
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,103967.0,2066933598095,1,2066933598095,23416708888,105804.0,103977.0,-384.17568206631404,-0.36816,-6000681499.233887,-0.28948,19873368.0,19873368.0,21000000.0,111814.0,-7.00231,2025-05-22T18:41:28.492Z,67.81,153249.24732,2013-07-06T00:00:00.000Z,,2025-06-02T14:01:53.019Z,2025-06-02 14:01:58.012553
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2505.37,302448398339,2,302448398339,12672966287,2544.32,2482.52,8.98,0.35961,1182343976.0,0.39246,120723694.2120103,120723694.2120103,,4878.26,-48.6438,2021-11-10T14:24:19.604Z,0.432979,578516.98282,2015-10-20T00:00:00.000Z,"{'times': 31.273245340395004, 'currency': 'btc', 'percentage': 3127.3245340395006}",2025-06-02T14:01:53.973Z,2025-06-02 14:01:58.012553
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.189923,28407694366,8,28408216864,957498727,0.194233,0.189149,0.00036406,0.19205,106726931.0,0.37711,149514656383.7052,149517406383.7052,,0.731578,-74.03104,2021-05-08T05:08:23.458Z,8.69e-05,218513.32668,2015-05-06T00:00:00.000Z,,2025-06-02T14:01:52.993Z,2025-06-02 14:01:58.012553
